起點站,終點站,首班車,末班車
南港展覽館,南港,0,0
南港,南港展覽館,0,63
南港,昆陽,2,12
昆陽,南港,6,61
昆陽,後山埤,4,15
後山埤,昆陽,4,59
後山埤,永春,0,17
永春,後山埤,2,57
永春,市政府,2,19
市政府,永春,0,55
市政府,國父紀念館,3,21
國父紀念館,市政府,3,53
國父紀念館,忠孝敦化,0,22
忠孝敦化,國父紀念館,1,52
忠孝敦化,忠孝復興,2,24
忠孝復興,忠孝敦化,0,50
忠孝復興,忠孝新生,3,40
忠孝新生,忠孝復興,4,48
忠孝新生,善導寺,5,42
善導寺,忠孝新生,2,46
善導寺,台北車站,7,44
台北車站,善導寺,0,45
台北車站,西門,0,45
西門,台北車站,8,42
西門,龍山寺,3,48
龍山寺,西門,5,40
龍山寺,江子翠,5,50
江子翠,龍山寺,2,36
江子翠,新埔,0,54
新埔,江子翠,0,35
新埔,板橋,2,55
板橋,新埔,3,32
板橋,府中,4,57
府中,板橋,2,12
府中,亞東醫院,5,59
亞東醫院,府中,0,10
亞東醫院,海山,0,61
海山,亞東醫院,7,7
海山,土城,3,64
土城,海山,5,5
土城,永寧,5,66
永寧,土城,3,3
永寧,頂埔,0,68
頂埔,永寧,0,0
南港展覽館,南港軟體園區,0,0
南港軟體園區,南港展覽館,3,67
南港軟體園區,東湖,1,1
東湖,南港軟體園區,1,65
東湖,葫洲,3,3
葫洲,東湖,0,63
葫洲,大湖公園,0,5
大湖公園,葫洲,4,100
大湖公園,內湖,1,9
內湖,大湖公園,1,56
內湖,文德,5,13
文德,內湖,1,56
文德,港墘,5,13
港墘,文德,0,54
港墘,西湖,0,15
西湖,港墘,3,52
西湖,劍南路,1,18
劍南路,西湖,1,49
劍南路,大直,3,20
大直,劍南路,0,46
大直,松山機場,0,23
松山機場,大直,2,43
松山機場,中山國中,2,27
中山國中,松山機場,0,40
中山國中,南京復興,0,30
南京復興,中山國中,5,38
南京復興,忠孝復興,1,32
忠孝復興,南京復興,3,35
